name,price,rpm,noise_level,color,size
Cooler Master MASTERLIQUID ML240L RGB V2,99.99,"650,1800","6,27",Black,240.0
NZXT Kraken Elite 360 RGB,282.0,"500,1800","17.9,30.6",White,360.0
Corsair iCUE H150i ELITE CAPELLIX XT,189.99,"550,2100","5,34.1",Black,360.0
NZXT Kraken 240,121.99,"500,1800","17.9,30.6",Black,240.0
Deepcool LS720 SE WH,109.99,"500,2250","28.2,32.9",White,360.0
NZXT Kraken Elite 360 RGB,276.5,"500,1800","17.9,30.6",Black,360.0
NZXT Kraken 360,179.99,"500,1800","17.9,30.6",Black,360.0
ARCTIC Liquid Freezer III,90.08,"200,1800",,Black,360.0
Corsair iCUE H100i RGB ELITE,139.0,"400,1850","5,28.9",Black,240.0
Deepcool LS720 SE,90.98,"500,2250","28.2,32.9",Black,360.0
NZXT Kraken 240 RGB,159.99,"500,1800","17.9,30.6",White,240.0
Corsair iCUE H150i ELITE LCD XT,232.99,"550,2100","5,34.1",Black,360.0
Deepcool LT720,123.49,"500,2250",32.9,Black / Gray,360.0
Deepcool LS520 SE,74.99,"500,2250","28.2,32.9",Black,240.0
ARCTIC Liquid Freezer II 360,114.95,"800,2000",,Black,360.0
Lian Li Galahad II Trinity SL-INF,224.02,2100,29,White,360.0
ARCTIC Liquid Freezer II 240,149.9,"200,1800",,Black,240.0
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",White,360.0
Corsair iCUE H100x RGB ELITE,99.99,1500,"7,28",Black,240.0
Lian Li Galahad II Trinity SL-INF,169.99,2100,29,Black,360.0
Thermalright Frozen Notte ARGB,50.9,2000,27.7,Black,240.0
NZXT Kraken Elite 360,267.87,"500,1800","17.9,30.6",Black,360.0
ARCTIC Liquid Freezer III A-RGB,107.79,"200,2000",,Black,360.0
ARCTIC Liquid Freezer III,76.98,"200,1800",,Black,240.0
Corsair iCUE H150i ELITE CAPELLIX XT,192.94,"550,2100",,White,360.0
Cooler Master MasterLiquid 360L Core ARGB,94.63,"350,1750",27.2,Black,360.0
Corsair iCUE H100i ELITE CAPELLIX XT,164.87,"550,2100","5,34.1",Black,240.0
Asus ROG Ryujin III ARGB,339.99,"600,2200",36.45,Black,360.0
NZXT Kraken 240 RGB,160.99,"500,1800","17.9,30.6",Black,240.0
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",Black,360.0
ARCTIC Liquid Freezer II 280,95.99,"200,1700",,Black,280.0
Deepcool LT520,84.99,"500,2250",32.9,Black / Gray,240.0
Thermalright Frozen Notte ARGB,50.9,2000,27.7,White,240.0
Deepcool LT720 WH,109.99,"500,2250",32.9,White,360.0
ARCTIC Liquid Freezer III A-RGB,110.1,"200,2000",,White,360.0
Corsair iCUE H150i ELITE LCD XT,264.87,"550,2100","5,31.1",White / Gray,360.0
Corsair iCUE H150i ELITE LCD,399.0,"450,2000","10,30.4",Black,360.0
Deepcool LS720,139.0,"500,2250",32.9,Black,360.0
ARCTIC Liquid Freezer III,86.23,"200,1700",,Black,280.0
Lian Li Galahad II Trinity,119.0,2450,35.4,White,360.0
Corsair iCUE H100i ELITE CAPELLIX XT,144.99,"550,2100","5,34.1",White,240.0
ARCTIC Liquid Freezer II 420,92.39,"200,1700",,Black,420.0
Cooler Master MASTERLIQUID ML120L RGB V2,59.99,"650,1800","6,27",Black,120.0
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,558.73,"600,2200",36.45,Red / Black,360.0
Corsair iCUE H150i RGB ELITE,179.99,"400,1850","19,35.8",Black,360.0
Corsair iCUE LINK H150i RGB,189.99,"480,2400",,Black,360.0
Cooler Master MasterLiquid ML240L ARGB V2,65.98,"650,1800","8,27",Black,240.0
NZXT Kraken Elite 240 RGB,226.99,"500,1800","17.9,30.6",White,240.0
MSI MAG CORELIQUID 360R V2,114.99,"500,2000","14.3,34.3",Black,360.0
ARCTIC Liquid Freezer III,98.55,"200,1700",,Black,420.0
ARCTIC Liquid Freezer II 360 A-RGB,144.99,"200,1800",22.5,Black / Gray,360.0
NZXT Kraken Z73 RGB,379.99,"500,1500","22,33",White / Black,360.0
Corsair iCUE LINK H150i LCD,264.99,"480,2400",,White,360.0
Asus ROG STRIX LC II ARGB,129.99,"800,2500",37.6,Black,360.0
NZXT Kraken 280,144.99,"500,1500","19.4,32.1",Black,280.0
Asus ROG RYUJIN II,499.0,"450,2000",29.7,Black,360.0
ARCTIC Liquid Freezer III A-RGB,87.77,"200,2000",,Black,240.0
Thermalright Frozen Prism ARGB,60.59,1850,27,Black,360.0
Corsair iCUE H150i ELITE CAPELLIX,288.99,2400,"10,37",Black,360.0
Cooler Master MasterLiquid 240L Core ARGB,84.99,"350,1750",27.2,Black,240.0
EK Nucleus AIO CR360 Dark,167.94,"550,2300",36,Black,360.0
Corsair iCUE H170i ELITE LCD XT,299.99,"500,1700","5,33.8",Black,420.0
MSI MAG CORELIQUID 240R V2,87.43,"500,2000","14.3,34.3",Black,240.0
NZXT Kraken 120,84.99,"500,2000","21,36",Black,120.0
Corsair iCUE LINK H150i LCD,254.99,"480,2400",,Black,360.0
NZXT Kraken Elite 240,179.99,"500,1800","17.9,30.6",Black,240.0
NZXT Kraken Elite 280 RGB,199.99,"500,1500",34.48,White,280.0
Deepcool LS520 SE WH,74.98,"500,2250","28.2,32.9",White,240.0
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,"550,2300",36,Black,360.0
Cooler Master MasterLiquid 360L Core ARGB,96.91,"350,1750",27.2,White,360.0
ARCTIC Liquid Freezer II 240 A-RGB,80.84,"200,1800",22.5,Black / Gray,240.0
EK Nucleus AIO CR240 Dark,129.99,"550,2300",36,Black,240.0
NZXT Kraken X53,219.99,"500,2000","21,36",Black,240.0
Thermalright Aqua Elite V3,55.9,1500,25.6,White,360.0
Corsair iCUE H60x RGB ELITE,79.99,1500,"7,28",Black,120.0
NZXT Kraken Z73,388.46,"500,1800","21,36",Black,360.0
ARCTIC Liquid Freezer III A-RGB,115.49,"200,1900",,Black,420.0
Corsair iCUE H170i ELITE CAPELLIX,368.99,2000,"10,37",Black,420.0
Thermalright Aqua Elite V3,49.9,1500,25.6,Black,240.0
NZXT Kraken 280 RGB,159.99,"500,1500",34.48,White,280.0
Lian Li Galahad II Trinity Performance,169.99,"2300,3000","32.1,39.9",Black,360.0
Deepcool LT520 WH,84.99,"500,2250",32.9,White,240.0
NZXT Kraken Z63,230.38,"500,1800","21,38",Black,280.0
Cooler Master MasterLiquid 240L Core ARGB,84.99,"350,1750",27.2,White,240.0
ARCTIC Liquid Freezer II 280 A-RGB,92.39,"200,1900",22.5,Black,280.0
Asus ROG Ryujin III,339.99,"600,2200",36.45,White,360.0
Cooler Master MasterLiquid ML360L ARGB V2,114.99,"650,1800","8,27",Black,360.0
ARCTIC Liquid Freezer III A-RGB,90.08,"200,2000",,White,240.0
NZXT Kraken Z73 RGB,279.99,"500,1500","22,33",Black,360.0
ARCTIC Liquid Freezer III A-RGB,98.55,"200,1900",,Black,280.0
NZXT Kraken Elite 240 RGB,217.36,"500,1800","17.9,30.6",Black,240.0
Thermalright Aqua Elite V3,44.99,1500,25.6,White,240.0
Thermalright Frozen Prism ARGB,50.9,1850,27,Black,240.0
ID-COOLING FROSTFLOW X,56.99,"800,1600","16.8,32.6",Black / Silver,280.0
Deepcool LE720,123.24,"500,2250",32.9,Black,360.0
MSI MAG CORELIQUID P240,75.0,"500,2000","14.3,34.3",Black,240.0
Thermalright Frozen Prism ARGB,48.9,1850,27,White,240.0
Asus TUF Gaming LC II ARGB,119.99,"800,2000",29,Black,360.0
Deepcool LE520,92.31,"500,2250",32.9,Black,240.0
Corsair iCUE H100i ELITE LCD XT,209.99,"550,2100","5,34.1",Black,240.0
Deepcool LS720 WH,166.9,"500,2250",32.9,White,360.0
Corsair iCUE H115i ELITE CAPELLIX XT,181.87,"500,1700","5,33.8",Black,280.0
Lian Li Galahad II Trinity,99.0,2450,35.4,Black,360.0
Vetroo V240,64.98,1800,30.8,Black,240.0
Phanteks GLACIER ONE 360D30,179.99,"250,2000",30.2,Black,360.0
Thermalright Frozen Edge,55.9,2150,28.1,White,360.0
Corsair iCUE H100i ELITE CAPELLIX,223.0,2400,"10,37",Black,240.0
NZXT Kraken Elite 280,179.99,"500,1500","19.4,32.1",Black,280.0
Corsair iCUE LINK H150i RGB,199.99,"480,2400",,White,360.0
Thermalright Frozen Magic Scenic V2,49.9,2150,28.1,White,360.0
ARCTIC Liquid Freezer II 420 A-RGB,99.99,"200,1900",22.5,Black,420.0
Corsair iCUE LINK H170i LCD,274.99,"400,2000",,Black,420.0
EK EK-Nucleus AIO CR240 Lux D-RGB,119.99,"550,2300",36,Black,240.0
Lian Li GALAHAD AIO 360 RGB,219.99,"800,1900",,White / Silver,360.0
NZXT Kraken X73 RGB,279.99,"500,1500","22,33",White / Black,360.0
Asus ROG STRIX LC II ARGB,154.72,"800,2500",37.6,White / Black,360.0
Vetroo V360,89.99,"800,1800",,White,360.0
NZXT Kraken Elite 280 RGB,199.99,"500,1500",34.48,Black,280.0
Lian Li Galahad II Trinity,119.99,2450,35.4,Black,240.0
Lian Li Galahad II Trinity,89.24,2450,35.4,White,240.0
ARCTIC Liquid Freezer III A-RGB,101.63,"200,1900",,White,280.0
Asus ProArt LC 420,269.99,"800,2000",31.5,Black,420.0
Fractal Design Lumen S24 RGB V2,113.98,"500,2000","10,33.2",Black,240.0
EK AIO Basic 360,109.64,"550,2200",33.5,Black,360.0
ID-COOLING DASHFLOW 240 BASIC,59.99,"700,1800","15.2,35.2",Black,240.0
MSI MAG CORELIQUID C240,74.98,"500,2000","14.3,34.3",Black,240.0
Asus ROG RYUO III 360 ARGB,213.56,2200,36.45,Black,360.0
Phanteks GLACIER ONE 360D30,179.99,"250,2000",30.2,White,360.0
Asus ROG Ryujin III,309.99,"450,2000",29.7,Black,360.0
Gigabyte AORUS WATERFORCE X,209.99,"800,2500","7.9,37.6",Black,360.0
Deepcool LS520,81.98,"500,2250",32.9,Black,240.0
MSI MAG CORELIQUID C360,133.94,"500,2000","14.3,34.3",Black,360.0
NZXT Kraken X73,224.21,"500,2000","21,36",Black,360.0
Thermalright Aqua Elite V3,63.9,1500,25.6,Black,360.0
NZXT Kraken X73 RGB,279.99,"500,1500","22,33",Black,360.0
Corsair iCUE H115i RGB ELITE,159.99,"400,1600","19,35.8",Black,280.0
Corsair iCUE H100i RGB ELITE,149.99,"400,1850","5,28.9",White,240.0
Corsair iCUE H150i RGB ELITE,189.99,"400,1850","5,28.9",White,360.0
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,"550,2300",36,White,360.0
ARCTIC Liquid Freezer II 360 Rev. 2,114.95,"200,1800",,Black,360.0
Cooler Master MasterLiquid ML360 Illusion,227.18,"650,1800","6,30",Black / Silver,360.0
be quiet! Silent Loop 2 360,234.59,2200,"17.7,39.8",Black,360.0
Lian Li Galahad II Trinity SL-INF,139.99,2100,29,Black,240.0
Thermalright Frozen Prism,46.9,1850,27,Black,240.0
EK AIO Basic 240,97.92,"550,2200",33.5,Black,240.0
Vetroo V240,64.98,1800,30.8,White / Gray,240.0
Deepcool LE720,123.24,"500,2250",32.9,White,360.0
Corsair iCUE LINK H100i RGB,159.99,"480,2400",,Black,240.0
Thermaltake TH360 V2 ARGB Sync,109.99,"500,2000",25.8,Black,360.0
Asus ROG RYUO III 360 ARGB WHITE EDITION,229.77,2200,36.45,White,360.0
NZXT Kraken X53 RGB,149.99,"500,1500","22,33",Black,240.0
NZXT Kraken Z53,239.99,"500,2000","21,36",Black,240.0
NZXT Kraken 280 RGB,159.99,"500,1500",34.48,Black,280.0
Thermalright Frozen Prism ARGB,55.9,1850,27,White,360.0
Thermaltake TH240 V2 ARGB Sync,79.98,"500,2000",25.8,Black,240.0
Cooler Master MasterLiquid ML240L ARGB V2,99.99,"650,1800","8,27",White,240.0
Corsair iCUE H150i ELITE CAPELLIX,378.0,2400,"10,37",White,360.0
Asus ROG STRIX LC II ARGB,119.99,"800,2500",37.6,Black,240.0
ID-COOLING PINKFLOW,99.99,"900,2000","16.3,33.5",White / Pink,240.0
EK AIO Elite 360 D-RGB,119.99,"550,2200",31.6,Black,360.0
MSI MAG CORELIQUID 240R V2,97.99,"500,2000","14.3,34.3",White,240.0
Corsair iCUE H100i RGB PRO XT,214.99,2400,37,Black,240.0
Corsair iCUE H170i ELITE CAPELLIX XT,239.99,"500,1700","5,33.8",Black,420.0
MSI MAG CORELIQUID P360,99.0,"500,2000","14.3,34.3",Black,360.0
Lian Li Galahad II Trinity Performance,159.99,"2300,3000","32.1,39.9",White,360.0
Cooler Master MasterLiquid ML360L ARGB V2,119.99,"650,1800","8,27",White,360.0
ID-COOLING DASHFLOW 240 BASIC,59.99,"700,1800","15.2,35.2",White,240.0
Cooler Master MasterLiquid 240 Atmos,133.08,"690,2500",27.2,Black,240.0
Asus TUF GAMING LC 240 ARGB,86.99,"800,2000",29,Black,240.0
NZXT Kraken M22,84.99,"500,2000","21,36",Black,120.0
Thermaltake TH360 V2 ARGB Sync,109.99,"500,2000",25.8,White,360.0
Lian Li Galahad II LCD,224.99,"300,2450",30,Black,360.0
Asus ROG STRIX LC II,129.99,"800,2500",37.6,Black,360.0
Corsair iCUE LINK H100i RGB,169.99,"480,2400",,White,240.0
Thermalright Frozen Edge,46.59,2150,28.1,White,240.0
Enermax Liqmax III 360 ARGB,89.99,"500,1600","14,27",Black,360.0
Lian Li Galahad II LCD,234.99,"300,2450",30,White,360.0
Gigabyte AORUS WATERFORCE 360,169.99,"950,2150","16.9,31",Black,360.0
Deepcool LS520 WH,89.99,"500,2250",32.9,White,240.0
Thermaltake TH360 V2 Ultra ARGB Sync,149.99,"500,1800",25.8,Black,360.0
Corsair H100x,299.99,1700,37,Black,240.0
Cooler Master MasterLiquid 360 Atmos,152.09,"690,2500",27.2,Black,360.0
Lian Li Galahad II Trinity SL-INF,138.82,2100,29,White,240.0
Corsair iCUE H100i ELITE CAPELLIX,149.99,2400,"10,37",White,240.0
EK AIO 280 D-RGB,113.59,"500,2000",36.4,Black / Translucent White,280.0
Cooler Master MasterLiquid ML240L V2 RGB,129.25,"650,1800","8,27",White / Black,240.0
Corsair iCUE LINK H170i RGB,214.99,"400,2000",,Black,420.0
ID-COOLING AURAFLOW X,59.99,"700,1800","18,35.2",Black,240.0
Deepcool LS720S ZERO DARK,99.99,"500,2250","28.2,32.9",Black,360.0
Thermaltake TH360 V2 Ultra ARGB Sync,156.99,"500,1800",25.8,White,360.0
Vetroo V360,89.99,"800,1800",,Black,360.0
MSI MAG CORELIQUID 360R V2,140.63,"500,2000","14.3,34.3",White,360.0
Gigabyte AORUS WATERFORCE X II 360 ICE,289.99,"800,2400","12,37.5",White,360.0
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,White,420.0
NZXT Kraken X63 RGB,272.89,"500,1500","22,33",White / Black,280.0
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,235.18,"800,1900",32,White / Silver,240.0
MSI MAG CORELIQUID M360,136.93,"500,2000","14.3,34.3",Black,360.0
Cooler Master MasterLiquid ML240 Illusion,140.47,"650,1800","6,30",Black,240.0
Lian Li GALAHAD AIO 360 RGB,209.0,"800,1900",,Black / Silver,360.0
Fractal Design Lumen S36 RGB V2,134.98,"500,2000","10,33.2",Black,360.0
Phanteks Glacier One 360 T30 Gen2,376.89,"1200,3000","11.1,39.7",Black / Gray,360.0
Corsair iCUE LINK H115i RGB,174.99,"400,2000",,Black,280.0
Phanteks GLACIER ONE 420D30,189.99,"250,1800",29.5,Black,420.0
Lian Li Galahad II LCD,199.99,"300,1550",26.7,White,280.0
